"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","createOrderWithoutAuthAndWithIngredients","","2026-02-20","passed","2026-02-20","","tests.CreateOrderTest","tests.CreateOrderTest","createOrderWithoutAuthAndWithIngredients"
"","330","createOrderWithoutIngredients","","2026-02-20","passed","2026-02-20","","tests.CreateOrderTest","tests.CreateOrderTest","createOrderWithoutIngredients"
"","479","createOrderWithWrongIngredientsId","","2026-02-20","passed","2026-02-20","","tests.CreateOrderTest","tests.CreateOrderTest","createOrderWithWrongIngredientsId"
"","1620","userDuplicateEmail","","2026-02-20","passed","2026-02-20","","tests.CreateUserTest","tests.CreateUserTest","userDuplicateEmail"
"","1337","userCanBeCreated","","2026-02-20","passed","2026-02-20","","tests.CreateUserTest","tests.CreateUserTest","userCanBeCreated"
"","3192","loginWithWrongPassword","","2026-02-20","passed","2026-02-20","","tests.LoginUserTest","tests.LoginUserTest","loginWithWrongPassword"
"","5160","createOrderWithAuthAndIngredients","","2026-02-20","passed","2026-02-20","","tests.CreateOrderTest","tests.CreateOrderTest","createOrderWithAuthAndIngredients"
"","1746","loginWithWrongEmail","","2026-02-20","passed","2026-02-20","","tests.LoginUserTest","tests.LoginUserTest","loginWithWrongEmail"
"","329","userCannotBeCreatedWithMissingField","","2026-02-20","passed","2026-02-20","","tests.CreateUserTest","tests.CreateUserTest","userCannotBeCreatedWithMissingField"
"","1787","loginWithSuccess","","2026-02-20","passed","2026-02-20","","tests.LoginUserTest","tests.LoginUserTest","loginWithSuccess"
